dataset,problem,n,m,nnz_a,clarabel_1e-4,clarabel_1e-6,clarabel_1e-8,cvxopt_1e-4,cvxopt_1e-6,scs_cpu_1e-4,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-6,sdpa_1e-4,sdpa_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,clarabel_1e-8_status,cvxopt_1e-4_status,cvxopt_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,sdpa_1e-4_status,sdpa_1e-6_status
sdplib,gpp250-4,251.0,31375.0,31625.0,912.57,990.0,990.0,6.68,13.12,900.3,900.23,901.07,900.63,3.59,4.04,optimal_inaccurate,time_limit,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp500-1,501.0,125250.0,125750.0,,,990.0,117.36,616.14,903.56,903.38,902.49,900.99,20.03,22.22,,,time_limit,optimal_inaccurate,primal_infeasible_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp500-2,501.0,125250.0,125750.0,,,990.0,86.04,161.57,564.82,903.34,733.07,901.94,19.98,22.22,,,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal
sdplib,gpp500-3,501.0,125250.0,125750.0,,,990.0,73.28,128.77,904.19,902.74,902.93,,19.74,22.18,,,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,gpp500-4,501.0,125250.0,125750.0,,,990.0,60.54,110.47,903.77,903.39,902.41,,19.6,22.42,,,time_limit,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,hinf1,13.0,105.0,92.0,0.0,0.0,0.0,0.01,0.02,0.11,13.57,1.47,,0.03,0.04,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,hinf10,21.0,171.0,190.0,0.0,0.01,0.01,0.03,0.03,0.12,5.95,1.9,,0.04,0.08,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal_inaccurate
sdplib,hinf11,31.0,253.0,417.0,0.01,0.01,0.01,0.03,0.03,0.4,42.96,3.85,,0.04,0.08,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal_inaccurate
sdplib,hinf12,43.0,300.0,579.0,0.02,0.02,0.02,0.09,0.1,0.38,8.3,3.53,,0.06,0.08,optimal_inaccurate,optimal,optimal,optimal_inaccurate,max_iter_reached,optimal_inaccurate,optimal,optimal_inaccurate,,solver_error,solver_error
sdplib,hinf13,57.0,465.0,1444.0,0.02,0.02,0.02,0.06,0.05,0.1,73.6,1.15,,0.07,0.07,optimal_inaccurate,optimal,optimal,max_iter_reached,max_iter_reached,optimal_inaccurate,optimal,optimal_inaccurate,,solver_error,primal_or_dual_infeasible
