dataset,problem,n,m,nnz_a,nnz_p,clarabel_1e-4,clarabel_1e-6,cuopt_1e-4,cuopt_1e-5,cuopt_1e-6,highs_1e-4,highs_1e-6,osqp_1e-4,osqp_1e-5,osqp_1e-6,pdlp_1e-4,pdlp_1e-5,pdlp_1e-6,piqp_1e-4,piqp_1e-6,qtqp_cudss_1e-4,qtqp_cudss_1e-6,qtqp_cudss_1e-8,qtqp_mkl_1e-4,qtqp_mkl_1e-6,qtqp_mkl_1e-8,scs_cpu_1e-4,scs_cpu_1e-5,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-5,scs_cudss_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,cuopt_1e-4_status,cuopt_1e-5_status,cuopt_1e-6_status,highs_1e-4_status,highs_1e-6_status,osqp_1e-4_status,osqp_1e-5_status,osqp_1e-6_status,pdlp_1e-4_status,pdlp_1e-5_status,pdlp_1e-6_status,piqp_1e-4_status,piqp_1e-6_status,qtqp_cudss_1e-4_status,qtqp_cudss_1e-6_status,qtqp_cudss_1e-8_status,qtqp_mkl_1e-4_status,qtqp_mkl_1e-6_status,qtqp_mkl_1e-8_status,scs_cpu_1e-4_status,scs_cpu_1e-5_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-5_status,scs_cudss_1e-6_status
miplib_relax,neos-4338804-snowy,1344.0,3045.0,7686.0,0.0,0.02,0.02,0.31,0.48,0.31,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,1.54,1.55,1.05,0.09,0.1,0.09,0.09,0.11,0.11,0.6,0.36,0.41,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4387871-tavua,4004.0,8558.0,27500.0,0.0,2.64,2.65,0.67,0.84,0.65,0.08,0.08,0.24,0.43,0.57,0.27,0.28,0.33,0.18,0.19,1.69,1.63,1.17,0.3,0.34,0.39,0.23,0.24,0.27,0.84,0.5,0.5,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4413714-turia,190402.0,192704.0,952157.0,0.0,203.78,245.36,5.22,6.79,4.95,2.28,2.52,300.02,300.04,300.03,300.39,300.31,300.32,13.99,17.05,24.55,21.75,83.67,24.35,42.77,174.74,36.47,301.78,301.69,105.97,301.86,301.82,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate
miplib_relax,neos-4532248-waihi,86842.0,254164.0,612181.0,0.0,22.37,26.59,1.32,2.16,1.28,1.43,1.4,9.93,18.89,15.16,9.33,11.24,10.24,4.11,4.57,8.58,6.8,5.91,7.53,8.46,9.0,5.5,6.18,6.23,7.08,4.0,4.5,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4647030-tutaki,12600.0,20982.0,3965988.0,0.0,22.6,28.89,2.37,2.61,2.41,4.76,4.36,300.03,300.05,300.04,61.11,59.29,65.37,94.67,75.65,8.59,8.2,7.63,86.1,101.44,102.59,40.13,40.22,41.52,5.94,5.0,5.0,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4722843-widden,77723.0,191276.0,389250.0,0.0,3.34,4.25,1.11,1.65,1.4,1.97,2.25,300.01,300.02,300.02,24.04,34.05,30.64,1.24,1.33,9.94,7.07,6.74,8.73,9.77,10.05,4.33,6.54,15.49,5.89,4.89,10.65,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4738912-atrato,6216.0,8163.0,25737.0,0.0,0.14,0.2,0.51,0.69,0.49,0.07,0.08,14.92,40.41,58.37,3.49,7.65,16.21,0.07,0.07,2.05,1.91,1.38,0.45,0.59,0.63,0.96,1.03,1.0,2.04,1.35,1.45,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4763324-toguru,53593.0,160547.0,320398.0,0.0,6.11,8.41,9.24,11.36,9.29,5.91,6.22,188.99,300.02,300.02,300.19,300.18,300.25,4.46,4.14,12.71,15.68,14.03,10.76,19.91,24.38,155.29,167.66,206.94,194.73,159.54,152.34,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,time_limit,time_limit,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-4954672-berkel,1533.0,3381.0,9540.0,0.0,0.18,0.24,0.38,0.54,0.37,0.02,0.02,0.14,0.38,3.6,0.06,0.08,0.1,0.08,0.08,1.87,1.63,1.08,0.14,0.15,0.16,0.09,0.11,0.1,0.75,0.41,0.42,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
miplib_relax,neos-5049753-cuanza,242736.0,564984.0,1683408.0,0.0,157.13,184.45,2.99,4.79,2.72,43.94,50.91,206.55,300.1,341.28,12.84,18.77,15.32,390.0,390.0,56.5,51.28,52.71,390.0,390.0,390.0,251.7,281.41,293.93,53.72,45.86,46.39,optimal,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,optimal,optimal,optimal,optimal,time_limit,optimal_inaccurate,optimal,optimal,time_limit,time_limit,optimal,optimal,optimal,time_limit,time_limit,time_limit,optimal,optimal,optimal,optimal,optimal,optimal
